Quadras;longitude;latitude
127;-45,23027743;-22,79692773
1270;-45,16025489;-22,7932393
1271;-45,16382267;-22,79674389
1272;-45,16346578;-22,79765781
1273;-45,16382267;-22,79674389
1274;-45,17398733;-22,79595583
1285;-45,17283776;-22,79682518
1276;-45,17835228;-22,79674567
1277;-45,17835228;-22,79674567
1278;-45,17835228;-22,79674567
1279;-45,17391706;-22,79667617
1727;-45,17348976;-22,79570151
1732;-45,17425466;-22,7930542
128;-45,22943416;-22,79733937
1280;-45,17835228;-22,79674567
1281;-45,17835228;-22,79674567
1282;-45,17790216;-22,79704633
1283;-45,17647132;-22,79717101
1284;-45,17657903;-22,79531812
1286;-45,17265372;-22,79689118
1287;-45,17265372;-22,79689118
1288;-45,17076335;-22,7997259
1289;-45,17497899;-22,8015397
129;-45,22943416;-22,79733937
1290;-45,17497899;-22,8015397
1291;-45,17505441;-22,80281129
1291;-45,17280143;-22,80337997
1292;-45,1715925;-22,8020491
1293;-45,17076335;-22,7997259
1294;-45,17080785;-22,8006553
1295;-45,17080785;-22,8006553
1296;-45,16692755;-22,79832632
1297;-45,16692755;-22,79832632
1298;-45,16692755;-22,79832632
1299;-45,16692755;-22,79832632
13;-45,24989592;-22,77921452
130;-45,2285787;-22,79737056
1300;-45,16692755;-22,79832632
1301;-45,16318207;-22,79982365
1302;-45,16044377;-22,79970859
1303;-45,15380904;-22,79925059
1304;-45,15451182;-22,80082104
1305;-45,16044377;-22,79970859
1306;-45,15931492;-22,80164196
1307;-45,15931492;-22,80164196
1308;-45,15931492;-22,80164196
1309;-45,17539045;-22,80083468
131;-45,22943786;-22,79604881
1310;-45,17086784;-22,80141073
1311;-45,17168809;-22,80249413
1312;-45,17168809;-22,80249413
1313;-45,17131433;-22,80149707
1314;-45,17211723;-22,80379786
1315;-45,17211723;-22,80379786
1316;-45,17230715;-22,80438816
1317;-45,17747955;-22,80417178
1318;-45,17505441;-22,80281129
1319;-45,17505441;-22,80281129
132;-45,22733067;-22,79711887
1320;-45,17505441;-22,80281129
1321;-45,17505441;-22,80281129
1322;-45,17505441;-22,80281129
133;-45,22733067;-22,79711887
1330;-45,17741155;-22,80961883
1338;-45,1801606;-22,81174734
134;-45,22733067;-22,79711887
135;-45,22602886;-22,79661152
1359;-45,19151693;-22,81672605
136;-45,22383991;-22,79478874
137;-45,22361501;-22,79568425
138;-45,22383991;-22,79478874
1383;-45,18640547;-22,81734587
139;-45,22361501;-22,79568425
1396;-45,18171853;-22,81948671
14;-45,24989592;-22,77921452
140;-45,22141542;-22,79524796
1404;-45,18108611;-22,82113005
141;-45,22141542;-22,79524796
1417;-45,18651489;-22,81945387
142;-45,22356321;-22,79671368
143;-45,22287027;-22,79536407
1430;-45,18860716;-22,81353857
1438;-45,19717871;-22,81494356
144;-45,22733067;-22,79711887
145;-45,22733067;-22,79711887
1450;-45,18954986;-22,81592218
146;-45,22602886;-22,79661152
1463;-45,19559811;-22,81902609
1463;-45,19559811;-22,81902609
147;-45,22478765;-22,79748277
1471;-45,19027073;-22,81971712
148;-45,22478765;-22,79748277
1483;-45,19405557;-22,81994594
149;-45,22356321;-22,79671368
1496;-45,18923196;-22,82046673
1499;-45,19539615;-22,82442579
15;-45,24989592;-22,77921452
150(a);-45,22141542;-22,79524796
150(b);-45,22141542;-22,79524796
1504;-45,19194213;-22,82400343
151;-45,21516639;-22,79736415
151;-45,21516639;-22,79736415
1516;-45,19129999;-22,8236624
152;-45,23029114;-22,79779541
1529;-45,19211999;-22,8318718
153;-45,23161262;-22,7986369
1537;-45,20711439;-22,80939264
154;-45,22733067;-22,79711887
1545;-45,20419045;-22,81715526
1549;-45,20495092;-22,81387479
155;-45,22733067;-22,79711887
1558;-45,19770222;-22,80914109
156;-45,22450128;-22,79747518
1562;-45,19846485;-22,81277765
